Timestamp,Gender,Age,District,Occupation,Educational background,Marital status,Monthly income,Type of bank you use for your mobile banking application,Source to know about the mobile banking application,Duration of using the mobile banking application,The preferred way to use the mobile banking application,Use of mobile application,Average amount of money  transfer during a month using the mobile banking application,Average total amount of money transfer during a month by going to the bank or ATM,Willing to use the mobile banking application to perform transactions with other banks,Willing to use the mobile banking application to do large transactions,Satisfied with the security measurements in your mobile banking application,Satisfied with the service charges related to the mobile banking application,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Which banks have better mobile banking applications
03/11/2020 07:32:19,Female,16 to 25,Matara,Student,A/L,Single,Not applicable,Both,From the bank,Less than 6 months,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 1000 to 5000,More than 50000,No,No,No,Neutral,3,Not applicable
03/11/2020 08:10:11,Female,16 to 25,Matara,Student,O/L,Single,Not applicable,Private,From the bank,Less than 6 months,Mobile app,"Pay bills, Transfer money to other accounts",Between 1000 to 5000,Less than 1000,Yes,No,Yes,Neutral,4,Not applicable
03/11/2020 08:33:33,Male,25 to 45,Colombo,Self-employed,Other,Single,Between 50000 to 100000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Less than 1000,Yes,Yes,Yes,Yes,4,Not applicable
03/11/2020 08:35:06,Female,16 to 25,Kandy,Student,Degree,Single,Not applicable,Both,From the bank,Less than 6 months,Mobile app,Check bank balance,Less than 1000,Less than 1000,No,No,Yes,Yes,5,Not applicable
03/11/2020 09:32:24,Male,16 to 25,Galle,Student,A/L,Single,Not applicable,Both,From a friend,Less than 6 months,Browser,Transfer money to other accounts,Between 1000 to 5000,Between 1000 to 5000,No,No,No,Neutral,3,Not applicable
03/11/2020 09:42:09,Female,16 to 25,Colombo,Student,A/L,Single,Not applicable,Private,Business studies,Less than 6 months,Mobile app,Transfer money to other accounts,Between 1000 to 5000,Between 10000 to 50000,Yes,Yes,Yes,Neutral,3,Private banks
03/11/2020 10:12:18,Female,16 to 25,Matara,Student,Degree,Single,Not applicable,Private,Advertisement,Less than 6 months,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Set up standing orders",Between 1000 to 5000,Between 5000 to 10000,Yes,Yes,Yes,No,3,Private banks
03/11/2020 10:24:38,Female,25 to 45,Jaffna,Private Sector,Degree,Single,More than 100000,Private,From the bank,More than 1 year,Browser,"Pay bills, Transfer money to other accounts, Check bank balance",More than 50000,Between 10000 to 50000,No,No,Yes,No,3,Private banks
03/11/2020 11:05:36,Female,25 to 45,Colombo,Private Sector,Diploma,Single,Between 50000 to 100000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Less than 1000,Yes,Yes,Yes,Neutral,4,Not applicable
03/11/2020 12:39:51,Male,25 to 45,Jaffna,Private Sector,Degree,Single,More than 100000,Both,From the bank,More than 1 year,Browser,"Pay bills, Transfer money to other accounts, Check bank balance",More than 50000,Between 10000 to 50000,Yes,Yes,Yes,No,4,Not applicable
03/11/2020 14:56:52,Male,25 to 45,Galle,Private Sector,Degree,Single,More than 100000,Both,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Set up standing orders",More than 50000,More than 50000,Yes,Yes,Yes,No,4,Private banks
03/11/2020 15:40:43,Male,16 to 25,Colombo,Student,Degree,Single,Between 20000 to 50000,Public,From a friend,Between 6 months to 1 year,Mobile app,"Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Less than 1000,Yes,No,Yes,Neutral,3,Private banks
03/11/2020 16:41:43,Male,16 to 25,Matara,Student,Degree,Single,Less than 20000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Apply for loans, Set up standing orders",More than 50000,More than 50000,Yes,Yes,Yes,Yes,5,Government banks
03/11/2020 16:45:58,Female,16 to 25,Matara,Student,A/L,Single,Not applicable,Both,From a friend,Less than 6 months,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Between 5000 to 10000,Yes,No,No,Yes,3,Private banks
03/11/2020 16:49:50,Female,16 to 25,Galle,Student,A/L,Single,Not applicable,Private,From a friend,Less than 6 months,Mobile app,Transfer money to other accounts,Between 1000 to 5000,Between 5000 to 10000,Yes,Yes,Yes,Yes,4,Not applicable
03/11/2020 16:55:15,Female,16 to 25,Matara,Student,Degree,Single,Not applicable,Private,From the bank,Less than 6 months,Mobile app,Pay bills,Between 1000 to 5000,Between 1000 to 5000,Yes,No,No,No,3,Not applicable
